epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3323,1.53987,3.39362,1.17245,0.52629,0.18155,0.13307,0.0785,1.45149,2.12643,1.1525,0.000132544,0.000132544,0.000132544
2,65.0081,1.48591,2.20634,1.1584,0.5277,0.1955,0.16835,0.10246,1.48371,1.93852,1.19103,0.000262117,0.000262117,0.000262117
3,95.7616,1.44846,1.98338,1.15116,0.56296,0.23133,0.22131,0.13164,1.40462,1.64403,1.13294,0.000387919,0.000387919,0.000387919
4,126.554,1.43432,1.86591,1.14788,0.5455,0.22756,0.23449,0.14103,1.3778,1.5564,1.12489,0.000383029,0.000383029,0.000383029
5,157.411,1.40504,1.73301,1.13171,0.5684,0.27385,0.2517,0.1507,1.34263,1.5245,1.10841,0.000377371,0.000377371,0.000377371
6,188.025,1.38737,1.67185,1.12393,0.57944,0.26677,0.26704,0.15385,1.42603,1.50906,1.154,0.000371714,0.000371714,0.000371714
7,218.605,1.3579,1.62829,1.11775,0.60522,0.28616,0.28226,0.16354,1.42812,1.58331,1.14977,0.000366057,0.000366057,0.000366057
8,249.125,1.35712,1.58889,1.11624,0.61388,0.31284,0.299,0.17815,1.35814,1.44188,1.11649,0.0003604,0.0003604,0.0003604
9,279.686,1.33352,1.51157,1.10341,0.58192,0.27302,0.3,0.18441,1.37368,1.58752,1.12193,0.000354743,0.000354743,0.000354743
10,310.235,1.33649,1.49202,1.10527,0.59723,0.30912,0.31429,0.18607,1.42155,1.41836,1.15243,0.000349086,0.000349086,0.000349086
11,340.832,1.32696,1.45861,1.09905,0.62636,0.30693,0.3132,0.18751,1.35096,1.40871,1.12539,0.000343429,0.000343429,0.000343429
12,371.478,1.32175,1.43014,1.09606,0.5972,0.348,0.33963,0.20864,1.35723,1.42103,1.12569,0.000337771,0.000337771,0.000337771
13,401.997,1.29963,1.37932,1.08474,0.63472,0.31796,0.31743,0.19518,1.32541,1.40338,1.10522,0.000332114,0.000332114,0.000332114
14,432.477,1.28,1.35292,1.07747,0.62308,0.31337,0.32789,0.18813,1.40248,1.34891,1.13206,0.000326457,0.000326457,0.000326457
15,463.217,1.30743,1.34416,1.0863,0.53752,0.36328,0.33573,0.20081,1.37999,1.40631,1.13824,0.0003208,0.0003208,0.0003208
16,494.228,1.27129,1.30841,1.07212,0.58214,0.36854,0.35834,0.21862,1.35813,1.38492,1.12358,0.000315143,0.000315143,0.000315143
17,525.006,1.26733,1.2898,1.07498,0.59277,0.31794,0.33454,0.20139,1.3605,1.36667,1.11554,0.000309486,0.000309486,0.000309486
18,555.769,1.2682,1.28296,1.0724,0.52785,0.33219,0.32927,0.20145,1.31865,1.36217,1.1001,0.000303829,0.000303829,0.000303829
19,586.562,1.25927,1.2556,1.06753,0.52695,0.3829,0.34623,0.21297,1.35549,1.32494,1.11168,0.000298171,0.000298171,0.000298171
20,617.194,1.25351,1.23992,1.06581,0.60637,0.38843,0.38435,0.23889,1.28176,1.31111,1.08383,0.000292514,0.000292514,0.000292514
21,647.708,1.24226,1.22841,1.0636,0.64984,0.34238,0.37478,0.23475,1.31814,1.31963,1.10839,0.000286857,0.000286857,0.000286857
22,678.508,1.23814,1.19309,1.05855,0.5886,0.38563,0.37516,0.22649,1.33721,1.29975,1.10417,0.0002812,0.0002812,0.0002812
23,709.151,1.2366,1.20378,1.05773,0.57764,0.36087,0.37324,0.23266,1.3162,1.31447,1.09891,0.000275543,0.000275543,0.000275543
24,739.935,1.23402,1.18058,1.05926,0.52664,0.40548,0.35727,0.22007,1.31051,1.27905,1.08774,0.000269886,0.000269886,0.000269886
25,770.669,1.22026,1.16454,1.05113,0.56786,0.38357,0.37879,0.23453,1.37248,1.33491,1.12147,0.000264229,0.000264229,0.000264229
26,801.477,1.22999,1.1576,1.05135,0.69451,0.32054,0.39386,0.24296,1.3193,1.28936,1.1018,0.000258571,0.000258571,0.000258571
27,832.632,1.22946,1.15512,1.05171,0.64311,0.36456,0.40113,0.247,1.29417,1.27144,1.09477,0.000252914,0.000252914,0.000252914
28,863.357,1.22413,1.14303,1.04296,0.68771,0.34656,0.40628,0.24962,1.33474,1.25557,1.1063,0.000247257,0.000247257,0.000247257
29,893.957,1.21881,1.13574,1.04991,0.57563,0.32569,0.37333,0.23034,1.31463,1.28902,1.10446,0.0002416,0.0002416,0.0002416
30,924.603,1.20378,1.11154,1.04279,0.55984,0.37219,0.4049,0.25855,1.33217,1.26887,1.11031,0.000235943,0.000235943,0.000235943
31,955.204,1.20683,1.11231,1.04241,0.59062,0.35458,0.37634,0.23031,1.34129,1.26194,1.11171,0.000230286,0.000230286,0.000230286
32,985.796,1.20477,1.10315,1.04157,0.55254,0.37911,0.3913,0.24319,1.30147,1.22667,1.09687,0.000224629,0.000224629,0.000224629
33,1016.5,1.19366,1.08392,1.03124,0.57267,0.38837,0.3962,0.24521,1.33074,1.23965,1.11073,0.000218971,0.000218971,0.000218971
34,1046.9,1.19587,1.07925,1.0407,0.59709,0.38559,0.39318,0.24204,1.32646,1.2636,1.1071,0.000213314,0.000213314,0.000213314
35,1077.32,1.17447,1.06043,1.0308,0.5001,0.44203,0.39193,0.23728,1.34948,1.25138,1.11233,0.000207657,0.000207657,0.000207657
36,1107.83,1.17905,1.049,1.03212,0.62048,0.37191,0.40011,0.24783,1.35787,1.28889,1.12136,0.000202,0.000202,0.000202
37,1138.49,1.17984,1.05773,1.02535,0.55243,0.39981,0.3899,0.23764,1.3324,1.22574,1.10247,0.000196343,0.000196343,0.000196343
38,1168.94,1.17514,1.04967,1.02436,0.54353,0.40861,0.39353,0.23748,1.32153,1.23858,1.09408,0.000190686,0.000190686,0.000190686
39,1199.66,1.17006,1.03336,1.02374,0.58082,0.39412,0.38603,0.23503,1.33492,1.27848,1.112,0.000185029,0.000185029,0.000185029
40,1230.26,1.15697,1.00949,1.02132,0.6142,0.38388,0.42233,0.26424,1.30605,1.24647,1.09501,0.000179371,0.000179371,0.000179371
41,1261,1.15273,1.00907,1.01971,0.57297,0.42505,0.40383,0.25053,1.30656,1.24913,1.09166,0.000173714,0.000173714,0.000173714
42,1291.59,1.15404,1.0015,1.01995,0.55257,0.4185,0.3908,0.24299,1.30484,1.24043,1.09681,0.000168057,0.000168057,0.000168057
43,1322.37,1.14213,0.99576,1.01989,0.58399,0.39491,0.422,0.26685,1.28061,1.2032,1.09099,0.0001624,0.0001624,0.0001624
44,1353.37,1.14566,0.99798,1.01638,0.53132,0.38907,0.41236,0.25631,1.36414,1.24218,1.12313,0.000156743,0.000156743,0.000156743
45,1384.25,1.13344,0.97607,1.00787,0.63527,0.38937,0.43467,0.27487,1.28708,1.19982,1.08793,0.000151086,0.000151086,0.000151086
46,1415.28,1.13146,0.96386,1.00919,0.6517,0.37528,0.41902,0.26303,1.31427,1.24197,1.10135,0.000145429,0.000145429,0.000145429
47,1446.31,1.13371,0.97356,1.0119,0.58915,0.37228,0.41385,0.26237,1.31462,1.23216,1.09775,0.000139771,0.000139771,0.000139771
48,1477.12,1.13042,0.95277,1.01071,0.61367,0.38902,0.42109,0.26316,1.33684,1.20791,1.11812,0.000134114,0.000134114,0.000134114
49,1507.85,1.13274,0.96337,1.01435,0.62941,0.41753,0.43729,0.26981,1.31206,1.23735,1.09958,0.000128457,0.000128457,0.000128457
50,1538.34,1.14082,0.95498,1.00726,0.61264,0.39061,0.42043,0.26509,1.28848,1.20217,1.08758,0.0001228,0.0001228,0.0001228
51,1568.97,1.1334,0.94889,1.0061,0.6297,0.42592,0.43133,0.27128,1.30013,1.21944,1.093,0.000117143,0.000117143,0.000117143
52,1599.46,1.11996,0.93986,1.0055,0.61222,0.38251,0.42868,0.26144,1.33062,1.19535,1.10555,0.000111486,0.000111486,0.000111486
53,1629.95,1.10614,0.92208,1.00018,0.58343,0.41926,0.43133,0.2681,1.30602,1.19684,1.09829,0.000105829,0.000105829,0.000105829
54,1660.36,1.1228,0.92994,1.00367,0.60086,0.41461,0.42495,0.25883,1.3363,1.20886,1.10798,0.000100171,0.000100171,0.000100171
55,1691.45,1.12331,0.93792,1.00056,0.66225,0.37801,0.43461,0.27145,1.32104,1.20004,1.10106,9.45143e-05,9.45143e-05,9.45143e-05
56,1722.17,1.1119,0.92409,0.99823,0.60405,0.38365,0.42542,0.26893,1.32723,1.19601,1.10274,8.88571e-05,8.88571e-05,8.88571e-05
57,1753.1,1.10941,0.91298,0.99999,0.61692,0.38499,0.43107,0.26988,1.32266,1.18493,1.10058,8.32e-05,8.32e-05,8.32e-05
58,1783.78,1.11138,0.90845,0.996,0.62309,0.39475,0.42459,0.26659,1.32304,1.20155,1.09914,7.75429e-05,7.75429e-05,7.75429e-05
59,1814.5,1.0882,0.89321,0.99457,0.6532,0.37454,0.42954,0.2648,1.3257,1.22359,1.10343,7.18857e-05,7.18857e-05,7.18857e-05
60,1845.35,1.08572,0.89158,0.99187,0.70036,0.38534,0.43637,0.27535,1.298,1.19734,1.09727,6.62286e-05,6.62286e-05,6.62286e-05
61,1877.63,1.09853,0.87587,0.98816,0.70628,0.37014,0.42905,0.2689,1.32061,1.21478,1.10565,6.05714e-05,6.05714e-05,6.05714e-05
62,1907.35,1.07635,0.83544,0.97635,0.70067,0.36338,0.42453,0.26415,1.33462,1.21529,1.11071,5.49143e-05,5.49143e-05,5.49143e-05
63,1937.12,1.06377,0.81961,0.97278,0.6396,0.37711,0.42574,0.26252,1.33161,1.22075,1.10605,4.92571e-05,4.92571e-05,4.92571e-05
64,1966.83,1.06526,0.82467,0.97496,0.69672,0.37412,0.43169,0.27075,1.3077,1.21792,1.10003,4.36e-05,4.36e-05,4.36e-05
65,1996.78,1.06835,0.81105,0.97177,0.59334,0.40331,0.42493,0.26342,1.33279,1.21741,1.11196,3.79429e-05,3.79429e-05,3.79429e-05
66,2026.53,1.05723,0.80396,0.96937,0.64684,0.39308,0.43198,0.27261,1.31532,1.19955,1.1041,3.22857e-05,3.22857e-05,3.22857e-05
67,2056.55,1.0558,0.79763,0.97168,0.60873,0.43163,0.43004,0.2706,1.31427,1.21636,1.10159,2.66286e-05,2.66286e-05,2.66286e-05
68,2086.6,1.05036,0.79815,0.96865,0.58097,0.42646,0.43083,0.2705,1.32093,1.21829,1.10401,2.09714e-05,2.09714e-05,2.09714e-05
